                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                 1.0113,                 1.0525,                 1.1896,                0.75088,                0.79247,                0.81257,                0.63343,                0.54727,                0.88393,                0.73825,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.9899,                 1.0095,                 1.1784,                 0.7553,                0.78515,                0.81497,                0.63613,                0.54711,                0.87128,                0.73825,               0.002872,               0.002872,               0.002872
                    146,                 1.0009,                0.99928,                 1.1827,                0.75287,                0.78813,                0.81168,                0.63192,                0.54449,                0.84985,                0.73751,              0.0028225,              0.0028225,              0.0028225
                    147,                0.99478,                 1.0006,                 1.1788,                0.75319,                0.78254,                0.81105,                 0.6302,                0.54465,                0.76902,                0.73781,               0.002773,               0.002773,               0.002773
                    148,                0.99465,                 1.0018,                 1.1758,                0.75152,                0.79199,                0.80849,                0.62907,                0.54218,                0.68236,                 0.7381,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.9749,                0.98166,                 1.1674,                0.75569,                0.79637,                 0.8085,                0.62865,                0.54033,                0.63067,                0.73783,               0.002674,               0.002674,               0.002674
                    150,                0.98864,                 1.0426,                 1.1752,                0.75046,                0.78995,                0.80876,                0.62788,                0.54318,                0.62653,                0.73858,              0.0026245,              0.0026245,              0.0026245
                    151,                0.97548,                 0.9656,                 1.1777,                0.76809,                0.77687,                0.80951,                0.62834,                0.54309,                0.62662,                0.73941,               0.002575,               0.002575,               0.002575
                    152,                0.97281,                 0.9793,                 1.1594,                0.76807,                0.76926,                0.80882,                0.62739,                0.54429,                0.62976,                0.74013,              0.0025255,              0.0025255,              0.0025255
                    153,                0.97256,                0.96408,                 1.1654,                0.77501,                 0.7699,                0.80982,                0.62944,                0.54478,                0.63516,                0.74076,               0.002476,               0.002476,               0.002476
